dataset,variant,seed,epsilon,selected_threshold,validation_fp_rate,test_n_clean,test_fp_images,test_fp_rate,test_false_detections,test_fppi,n_retained,n_targets,tp50,fp50,fn50,precision,recall,mAP50
vsb_rarefirst,baseline,42,0.01,0.55,0.0050200803212851405,2988,44,0.014725568942436412,47,0.01572958500669344,821,1173,706,115,467,0.8599269183922046,0.6018755328218244,0.6254400043433987
vsb_rarefirst,baseline,43,0.01,0.55,0.01104417670682731,2988,64,0.0214190093708166,66,0.02208835341365462,861,1173,739,122,434,0.8583042973286876,0.6300085251491901,0.6444927598843667
vsb_rarefirst,baseline,44,0.01,0.55,0.012048192771084338,2988,61,0.020414993306559572,64,0.0214190093708166,864,1173,736,128,437,0.8518518518518519,0.6274509803921569,0.6438279011335302
vsb_rarefirst,baseline,42,0.02,0.5,0.010374832663989291,2988,60,0.020080321285140562,63,0.02108433734939759,907,1173,768,139,405,0.8467475192943771,0.6547314578005116,0.6620840826511184
vsb_rarefirst,baseline,43,0.02,0.5,0.013386880856760375,2988,83,0.027777777777777776,86,0.028781793842034806,934,1173,783,151,390,0.8383297644539615,0.6675191815856778,0.6701203945872598
vsb_rarefirst,baseline,44,0.02,0.5,0.017737617135207495,2988,76,0.025435073627844713,79,0.02643908969210174,940,1173,789,151,384,0.8393617021276596,0.6726342710997443,0.6800669975094292
vsb_rarefirst,baseline,42,0.05,0.3,0.035809906291834004,2988,120,0.040160642570281124,141,0.04718875502008032,1237,1173,894,343,279,0.7227162489894907,0.7621483375959079,0.7317434088591771
vsb_rarefirst,baseline,43,0.05,0.3,0.04785809906291834,2988,167,0.055890227576974566,203,0.0679384203480589,1240,1173,903,337,270,0.728225806451613,0.7698209718670077,0.732403201639354
vsb_rarefirst,baseline,44,0.05,0.3,0.04752342704149933,2988,152,0.050870147255689425,192,0.0642570281124498,1243,1173,915,328,258,0.7361222847948512,0.7800511508951407,0.7472852804656123
vsb_rarefirst,p1_clahe,42,0.0,0.8,0.0,2988,1,0.00033467202141900936,1,0.00033467202141900936,286,1173,265,21,908,0.9265734265734266,0.2259164535379369,0.2707109191901828
vsb_rarefirst,p1_clahe,43,0.0,0.8,0.0,2988,0,0.0,0,0.0,272,1173,255,17,918,0.9375,0.21739130434782608,0.24490558447330943
vsb_rarefirst,p1_clahe,44,0.0,0.8,0.0,2988,0,0.0,0,0.0,244,1173,228,16,945,0.9344262295081968,0.19437340153452684,0.22072039499065202
vsb_rarefirst,p1_clahe,42,0.01,0.6,0.006358768406961178,2988,39,0.013052208835341365,42,0.014056224899598393,802,1173,698,104,475,0.8703241895261845,0.5950554134697357,0.6168813967390738
